Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Notes
Theta,8.20333231291582,0.056207864305151685,0.06376400954197922,2.011399021176697,0.017105347720661915,0.02613917042488486,0.030718300000444287,Strong trend-seasonality balance
Naive,12.31134341421775,0.08323966869420184,0.1022273177081288,5.727399166343643,0.04847089699913473,0.058295385991496494,5.000001692678779e-07,Too biased
"ARIMA(1, 1, 0)",11.998341971668795,0.08128237915854347,0.10011931942176247,5.9897414659974615,0.050602590257341616,0.06020485543674778,4.7054580000003625,No explicit seasonality (auto-selected orders)
"SARIMA(1, 1, 0)x(0,0,1,12)",12.311123313420634,0.08324077864703389,0.10261966878956366,6.016314986502314,0.050818216023521365,0.06042321605688559,7.121663099998841,Strong seasonal baseline (auto-selected orders)
ETS SES,12.141919998525722,0.08218124183381101,0.10107182025586381,6.074767014774885,0.05129216758274805,0.060836325851773426,0.032741800001531374,May underfit trend
FFT,8.355996897596793,0.05451722449321699,0.06862019132063724,6.159697037350325,0.05496046818694981,0.0631603776099972,0.003821900001639733,Seasonal frequency focus
ETS Holt-Winters,6.522359178347892,0.043785171002952795,0.057440696215231554,7.311302372230008,0.06611571931607825,0.07429025063269752,0.1274254000018118,Can over/under-smooth peaks
Moving Average,13.408333547855838,0.09002846142028663,0.10928925984975603,8.69673125398489,0.07225905240727853,0.07992795853417944,2.999986463692039e-07,Too flat
Seasonal Naive,23.195423014714518,0.14596215250354228,0.16436618029822392,10.5935879804675,0.08680008087952135,0.09518235070765087,1.00000761449337e-07,Misses trend/regime shifts
