Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
XGB-Multi (h=1),36.483907245340234,4097.713623046875,4514.428321657276,69.95795765481883,9790.7568359375,9961.617044704184,0.38043749995995313,tree-h1
RF-GridBest (h=1),35.32049248407561,3994.9083333333338,4422.558967872058,69.21952770952896,9726.317777777778,9924.84440023546,2.0213602000148967,tree-h1
XGB-GridBest (h=1),36.17058802853753,4072.023681640625,4522.930297252989,70.30548343372134,9824.85546875,9992.617239434183,0.41686740005388856,tree-h1
