Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
XGB-Multi (h=1),4.826863572502563,0.030519074601189133,0.03445970876136413,34.28650559663386,0.24120590706640802,0.25408469712068926,0.4726537999958964,tree-h1
RF-GridBest (h=1),4.183188324771697,0.02635863155981455,0.03197780780677189,26.390602696359778,0.19246565156386541,0.20241700493031062,3.041966099990532,tree-h1
XGB-GridBest (h=1),3.3463722268610177,0.020959125545199464,0.026140093069596124,34.75267291498995,0.2440206262769083,0.2565295054081294,0.2621314000134589,tree-h1
