Model,sMAPE_val,sMAPE_test,MAE_val,MAE_test,RMSE_val,RMSE_test,runtime_sec
RF-Multi,35.431,69.42,4005.134,9746.942,4434.992,9944.996,2.811
XGB-Multi,36.484,69.958,4097.714,9790.757,4514.428,9961.617,0.38
RF-GridBest,35.32,69.22,3994.908,9726.318,4422.559,9924.844,2.021
XGB-GridBest,36.171,70.305,4072.024,9824.855,4522.93,9992.617,0.417
