Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
Naive,10.31592519628158,0.07177126949095772,0.08275460460398074,5.455014497942886,0.0463547719328537,0.055254562374863286,0.00024850000045262277,03a-baseline
Moving Average,11.709325363093095,0.08110774263628753,0.09535046880104411,6.393386958509387,0.05400355027387712,0.06279384045683054,0.0006550999969476834,03a-baseline
Seasonal Naive,12.02226054348216,0.08310362633583582,0.09861670429311824,6.531552577863846,0.05499531114882205,0.0649182410897763,0.0004197000089334324,03a-baseline
ETS SES,10.66816417837909,0.07416659721696764,0.08536429890468229,5.4483425004350075,0.046300049160890276,0.05519279554785347,0.06362310000986326,03a-baseline
ETS Holt-Winters,10.521688393225293,0.07483530976236315,0.08498203021117993,5.608031869034075,0.05040001303315091,0.05985676188177187,0.1993427999987034,03a-baseline
"ARIMA(1,1,1)",10.319812080654044,0.07323702347248767,0.08339590484384699,2.804658557971901,0.02495319959076525,0.03728764555586899,0.5082847000012407,03a-baseline
"SARIMA(1,1,0)(1,1,0,4)",21.04038482713228,0.1671457806477549,0.17689604985194382,8.456886549655875,0.07810343837881531,0.0911796777130888,0.6857929000107106,03a-baseline
Theta,8.269796946870054,0.056940800327774134,0.07208545291358708,3.3976933036738517,0.028745823805815814,0.03523314275337084,0.030706699995789677,03a-baseline
FFT,6.634283804830334,0.04552547278140755,0.05417432649909575,5.196120722630182,0.04580575479266196,0.055607671738054046,0.0017106000013882294,03a-baseline
