Model,sMAPE_val,sMAPE_test,MAE_val,MAE_test,RMSE_val,RMSE_test,runtime_sec
RF-Multi,14.1,55.564,359.849,2463.643,378.261,3031.917,2.546
XGB-Multi,16.012,59.004,414.361,2568.708,448.511,3135.79,0.606
RF-GridBest,13.722,55.605,349.371,2464.911,366.86,3033.081,2.643
XGB-GridBest,15.823,56.958,408.554,2506.435,437.205,3074.767,0.394
