Horizon,sMAPE_val,sMAPE_test,MAE_val,MAE_test,RMSE_val,RMSE_test
h=1,26.87,102.743,76062.734,512655.234,94753.811,543116.682
h=2,34.359,109.353,118522.703,633381.953,153347.328,656834.021
h=3,45.834,114.701,189995.0,771372.25,235260.894,795041.936
h=4,64.884,122.969,300117.438,943649.938,332301.526,963823.602
