Horizon,sMAPE_val,sMAPE_test,MAE_val,MAE_test,RMSE_val,RMSE_test
h=1,36.484,69.958,4097.714,9790.757,4514.428,9961.617
h=2,59.976,71.595,6606.698,10432.237,6731.68,10511.939
h=3,29.152,48.875,3854.623,8341.045,3954.502,8516.887
h=4,56.5,66.479,7320.538,10862.707,7364.918,10948.995
