Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Notes,Family
Theta,8.20333231291582,0.0562078643051516,0.0637640095419792,2.011399021176697,0.0171053477206619,0.0261391704248848,0.0387228000035975,Strong trend-seasonality balance,02a-baseline
Naive,12.31134341421775,0.0832396686942018,0.1022273177081288,5.727399166343643,0.0484708969991347,0.0582953859914964,4.00003045797348e-07,Too biased,02a-baseline
"ARIMA(1, 1, 0)",11.998341971668795,0.0812823791585434,0.1001193194217624,5.9897414659974615,0.0506025902573416,0.0602048554367477,4.490199099993333,No explicit seasonality (auto-selected orders),02a-baseline
"SARIMA(1, 1, 0)x(0,0,1,12)",12.311123313420634,0.0832407786470338,0.1026196687895636,6.016314986502314,0.0508182160235213,0.0604232160568855,10.643835399998352,Strong seasonal baseline (auto-selected orders),02a-baseline
ETS SES,12.141919998525722,0.082181241833811,0.1010718202558638,6.074767014774885,0.051292167582748,0.0608363258517734,0.0313063000212423,May underfit trend,02a-baseline
FFT,8.355996897596793,0.0545172244932169,0.0686201913206372,6.159697037350325,0.0549604681869498,0.0631603776099972,0.0045470999903045,Seasonal frequency focus,02a-baseline
ETS Holt-Winters,6.522359178347892,0.0437851710029527,0.0574406962152315,7.311302372230008,0.0661157193160782,0.0742902506326975,0.1240448000025935,Can over/under-smooth peaks,02a-baseline
Moving Average,13.408333547855838,0.0900284614202866,0.109289259849756,8.69673125398489,0.0722590524072785,0.0799279585341794,2.00001522898674e-07,Too flat,02a-baseline
Seasonal Naive,23.19542301471452,0.1459621525035422,0.1643661802982239,10.5935879804675,0.0868000808795213,0.0951823507076508,1.999724190682173e-07,Misses trend/regime shifts,02a-baseline
